lake_id;comp1;comp2;comp3;;
1150000822;9.22E-73;1;5.35E-25;;274.88
1150001092;2.21E-59;1;9.54E-13;;2316.626689
1150002502;9.61E-48;0.985699406;0.014300594;;1160.49
1150002592;8.31E-47;1.45E-25;1;;
1150003802;4.01E-64;1;5.13E-16;;
1150004092;2.21E-70;1;1.01E-21;;
1150005262;3.12E-48;0.50000001;0.49999999;;
1150005972;5.19E-59;0.999999999;1.16E-09;;
1150007303;5.63E-58;0.99999983;1.70E-07;;
1150008142;4.74E-68;1;3.73E-21;;
1160000282;1.29E-47;2.12E-17;1.00000003;;
1170006442;1.77E-68;1;1.50E-17;;
1170013163;1;0;2.06E-84;;
1170013972;2.95E-31;3.56E-135;1;;
1170014783;6.78E-41;7.49E-123;1;;
1220005463;8.66E-43;2.88E-172;1;;
1220013612;2.90E-45;3.22E-46;1;;
1220053053;3.41E-36;9.40E-109;1;;
1220056833;8.19E-71;1;1.15E-19;;
1220056903;1.30E-71;1;2.39E-20;;
1230003032;5.30E-66;1;7.83E-15;;
1230009732;1.27E-32;9.50E-199;1;;
1240009142;5.07E-30;2.97E-195;1;;
1240018052;4.06E-48;8.99E-24;1;;
1240019053;2.14E-22;0;1;;
1250034252;3.07E-69;1;1.53E-18;;
1250051122;4.03E-75;1;1.87E-23;;
1270003322;2.76E-47;4.68E-10;1;;
1270024123;5.38E-22;3.2163033990353e-311;1;;
1270028303;1;0;1.51E-26;;
1270040752;3.39E-62;1;2.18E-12;;
1270041163;6.79E-46;5.64E-24;1;;
1270045763;1.34E-27;1.84E-203;1;;
1270054173;3.34E-32;8.46E-290;1;;
1310000402;1;0;3.82E-19;;
1310005562;2.70E-73;1;8.17E-22;;
1320012743;8.28E-48;2.37E-43;1;;
1320015733;6.28E-50;1.75E-16;1;;
1320015883;3.12E-49;2.84E-46;1;;
1320018042;1.30E-57;0.999999998;2.47E-09;;
1320022222;5.18E-53;0.999946474;5.35E-05;;
1320023692;3.25E-73;1;1.34E-22;;
1320023702;9.29E-65;1;8.26E-15;;
1320026362;2.89E-45;3.62E-62;1;;
1320028172;2.48E-48;7.87E-09;0.999999992;;
1320029763;1.11E-56;0.999999879;1.21E-07;;
1320030072;1.96E-69;1;1.29E-18;;
1320031272;7.40E-67;1;1.96E-16;;
1320031292;8.92E-59;0.999999997;2.58E-09;;
1320035402;3.79E-71;1;2.30E-21;;
1320035532;1.46E-75;1;2.76E-26;;
1320036032;2.88E-62;1;1.84E-12;;
1320036142;1.21E-72;1.000000045;1.03E-21;;
1320037342;7.97E-45;2.11E-38;1;;
1320038493;6.58E-52;0.996637629;0.003362371;;
1320040872;1.13E-74;1;4.74E-23;;
1330006212;1.54E-40;4.10E-117;1;;
1330007723;1.77E-39;3.06E-175;1;;
1330010923;1.76E-47;6.90E-55;1;;
1330014893;9.95E-34;0;1;;
1330015103;7.38E-45;1.49E-177;1;;
1420040083;3.78E-36;1.06E-215;1;;
1420043703;1.43E-35;0;1;;
1420045233;4.50E-35;3.56E-235;1;;
1420049113;4.59E-34;1.81E-213;1;;
1430002253;8.18E-35;2.69E-175;1;;
1430002872;9.94E-62;1;6.27E-11;;
1430004273;4.90E-15;0;1;;
1430004323;2.08E-60;0.999999998;2.37E-09;;
1440001863;5.14E-47;6.08E-87;1.000000045;;
1440005913;1.33E-38;6.36E-259;1;;
1440011113;6.16E-57;0.999991991;8.01E-06;;
1450003703;2.22E-42;3.03E-298;1;;
1450007622;2.91E-34;0;1;;
1450009543;1.12E-27;0;1;;
1450009923;8.93E-75;1;4.35E-23;;
1450011142;9.79E-45;5.20E-112;1;;
1450012863;1;0;2.30E-45;;
1450014203;7.19E-72;1;1.17E-20;;
1460002782;9.82E-40;2.47E-165;1;;
1460009393;1.65E-28;0;1;;
1510001923;1.41E-13;0;1;;
1510006093;8.67E-24;0;1;;
1510006393;1.96E-35;8.01E-239;1;;
1530011512;1.38E-20;0;1;;
1620001552;2.24E-50;1.49E-43;1;;
1620004522;9.84E-50;1.62E-20;1;;
1620008282;1.35E-50;1.90E-19;1;;
1620023612;3.71E-59;0.999999978;2.18E-08;;
1620031802;3.58E-60;0.999999995;4.55E-09;;
1620032342;2.09E-60;0.999999998;2.35E-09;;
1620034183;5.29E-67;1;1.14E-15;;
1620063302;2.00E-49;9.20E-11;1;;
1720000552;2.21E-73;1;2.04E-23;;
1720001282;7.86E-67;1;1.86E-17;;
1720001342;8.20E-62;1;6.03E-13;;
1720003902;2.81E-69;1;3.57E-20;;
1720003932;8.89E-77;1;1.58E-29;;
1720004142;1.56E-59;1;9.99E-13;;
1720004172;5.03E-66;1;1.59E-16;;
1720004433;1.87E-73;1.00000003;2.44E-23;;
1720004453;9.16E-75;1;6.76E-24;;
1720007172;2.98E-60;1;8.34E-11;;
1720008692;2.97E-72;1;2.39E-22;;
1720009413;7.83E-75;1;5.50E-24;;
1720010272;3.10E-49;0.749767786;0.250232214;;
1720010283;1.60E-50;0.798560239;0.201439776;;
1720033122;3.60E-76;1;1.78E-24;;
1720041492;1.33E-33;2.29E-272;1;;
1720041532;6.21E-39;1.73E-61;1;;
1720046943;5.10E-57;0.999999999;9.19E-10;;
1720052653;0.666666687;0;0.333333343;;
1720053693;6.59E-45;8.46E-60;1;;
1720054503;1;0;8.71E-21;;
1720056903;4.66E-49;3.58E-58;1.000000007;;
1810025102;2.36E-51;0.950778776;0.049221224;;
1810030972;1.40E-47;4.19E-06;0.999995809;;
1810042913;7.17E-69;1;2.57E-18;;
1810079153;5.72E-46;1.21E-20;1;;
2110017972;4.05E-69;1;2.64E-18;;
2110020813;4.35E-10;0;1;;
2110024562;4.17E-73;1;1.54E-21;;
2110026463;1;0;1.05E-27;;
2130000053;1;0;0;;
2130000103;1;0;6.23E-159;;
2130000133;1;0;0;;
2130000363;2.58E-34;1.50E-149;1;;
2130002132;1.58E-70;1;8.75E-20;;
2130004282;1;0;0;;
2130004742;1.05E-66;1;1.38E-15;;
2130012372;1.25E-35;7.45E-176;1;;
2130012773;4.24E-13;0;1;;
2130026062;2.46E-71;1;6.08E-20;;
2130026152;2.33E-67;1;3.10E-16;;
2140010663;7.20E-71;1;1.64E-19;;
2140010713;1.44E-48;5.04E-24;1;;
2140010723;1.60E-47;1.14E-08;0.999999989;;
2140014592;6.80E-54;0.999277834;0.000722166;;
2140016022;7.02E-70;1;1.37E-18;;
2150005082;2.53E-73;1;7.66E-22;;
2160009382;4.97E-44;9.80E-119;1;;
2160009923;1;0;5.11E-99;;
2160046863;1.16E-74;1.00000003;4.40E-23;;
2210000352;1.71E-75;1;1.42E-24;;
2220000093;9.59E-28;0;1;;
2220014373;5.23E-66;1;5.77E-15;;
