lake_id,arc1,arc2,arc3,arc4,arc5,arc6
1150000822,0.08637463,0.42209372,0.036079116,0.21378419,0.012249544,0.22941875
1150001092,0.19083722,0.061260633,0.28630778,0.12513435,0.13305452,0.2034055
1150002502,0.19275177,0.01917758,0.20871042,0.17489024,0.12448602,0.27998397
1150002592,0.06199694,0.19213384,0.09321941,0.03505931,0.52093923,0.09665132
1150003802,0.21407944,0.14275555,0.36267704,0.051754273,0.1291634,0.09957025
1150004092,0.42240727,0.044691112,0.061760858,0.16134779,0.16520448,0.14458846
1150005262,0.13679777,0.23364766,0.27103332,0.12711908,0.15898663,0.07241556
1150005972,0.13482384,0.12028903,0.3804337,0.05519343,0.24618608,0.06307389
1150007303,0.08126069,0.08033129,0.10831533,0.372954,0.2629742,0.094164476
1150007432,0.1618718,0.15038553,0.06445556,0.30493274,0.107536554,0.21081777
1150008142,0.0577146,0.18256707,0.28285894,0.16910915,0.111494064,0.19625615
1160000282,0.12602443,0.133583,0.17732158,0.24171117,0.20022383,0.121136054
1170006442,0.16907531,0.08029224,0.15736075,0.3473449,0.049664382,0.19626242
1170013163,0.062725,0.24415879,0.12109771,0.14250776,0.097769216,0.3317415
1170013972,0.42924273,0.058639936,0.2794916,0.1155623,0.08962769,0.027435724
1170014783,0.01588567,0.096636735,0.03579647,0.24816194,0.32186484,0.28165427
1220005463,0.111422464,0.085476756,0.07987651,0.26269048,0.1967225,0.26381132
1220013612,0.17990264,0.33068058,0.14157669,0.15384267,0.08794968,0.10604766
1220053053,0.14834182,0.29594892,0.19425832,0.100097984,0.12069005,0.14066292
1220056833,0.09388733,0.18390888,0.2987488,0.053959437,0.17837664,0.19111891
1220056903,0.11126833,0.18191676,0.18816656,0.14795229,0.28400686,0.086689204
1230003032,0.030193672,0.39713174,0.21032906,0.12767982,0.086762,0.14790376
1230009732,0.007627621,0.15249884,0.10197295,0.06867043,0.5861444,0.08308571
1240009142,0.046408236,0.10017495,0.20747808,0.06873627,0.03424427,0.5429582
1240018052,0.09380961,0.16347603,0.18214062,0.3990078,0.12980437,0.031761587
1240019053,0.3759394,0.10725243,0.05317936,0.041578613,0.02685148,0.39519876
